code,description,priceTRY,changePercentageDaily,changePercentage1Month,changePercentage3Month,changePercentage6Month,changePercentage9Month
TTA,İŞ PORTFÖY ALTIN FONU,0.256079,-0.2812,-1.297004,19.351877,33.737381,78.728765
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,0.325698,-0.8623,-4.459372,18.013791,35.098992,75.759407
GGK,INVEO PORTFÖY ALTIN FON,5.141788,-1.0472,-2.672859,20.434942,34.903830,86.972205
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,2.519665,1.0356,-0.434826,21.437890,29.683643,58.731154
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,1.885366,-0.0271,0.305860,13.573597,24.660540,75.209630
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0.085812,1.2423,-5.661705,9.628873,18.307529,86.543771
IVY,İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,2.297058,0.0895,-6.230168,9.861455,53.056998,142.170816
SAS,AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.205133,-0.0497,7.209177,,,
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,0.399777,0.4881,1.502310,9.395472,28.303080,83.482419
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,698.507979,0.2863,0.070863,6.090374,32.896457,128.4819
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1012.441941,0.5636,8.568535,17.597318,29.541091,172.023597
OJT,QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,5.207946,-0.1656,-0.390105,4.991947,34.948640,136.930625
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),14.065575,0.6238,5.628623,22.643728,38.531631,154.186359
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),22.705340,0.7650,9.112882,27.307965,51.973219,236.910321
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,0.209114,0.1183,1.714586,8.396401,26.144788,96.909546
TI1,İŞ PORTFÖY PARA PİYASASI (TL) FONU,631.452502,0.1349,3.484416,11.870386,23.812505,43.400675
